transaction_id,date,vendor,amount,source
TXN0001,2026-08-17,ABC Technologies,68637.37,Bank
TXN0002,2026-08-23,Prime Consulting,106118.36,Bank
TXN0003,2026-07-06,Acme Supplies,146465.24,Bank
TXN0004,2026-08-17,BlueSky Media,118979.32,Bank
TXN0005,2026-07-08,Vertex Systems,70305.96,Bank
TXN0006,2026-07-23,Vertex Systems,139380.92,Bank
TXN0007,2026-08-09,BlueSky Media,124300.43,Bank
TXN0008,2026-07-28,Vertex Systems,37949.61,Bank
TXN0009,2026-08-04,ABC Technologies,14253.5,Bank
TXN0010,2026-08-21,Summit Foods,96591.34,Bank
TXN0011,2026-08-17,XYZ Services,56406.27,Bank
TXN0012,2026-08-30,ABC Technologies,134502.56,Bank
TXN0013,2026-08-18,Nova Retail,33222.61,Bank
TXN0014,2026-07-29,Global Logistics,11351.55,Bank
TXN0015,2026-07-10,Vertex Systems,104042.1,Bank
TXN0016,2026-08-16,Orion Energy,145288.91,Bank
TXN0017,2026-07-21,Prime Consulting,58716.66,Bank
TXN0018,2026-07-30,ABC Technologies,32473.35,Bank
TXN0019,2026-07-09,Prime Consulting,73977.21,Bank
TXN0020,2026-07-15,Global Logistics,102123.03,Bank
TXN0021,2026-07-28,Orion Energy,125738.34,Bank
TXN0022,2026-08-13,Nova Retail,50293.16,Bank
TXN0023,2026-08-21,BlueSky Media,121690.83,Bank
TXN0024,2026-07-25,Summit Foods,46807.58,Bank
TXN0025,2026-08-12,Acme Supplies,25264.11,Bank
TXN0026,2026-07-13,Summit Foods,6067.53,Bank
TXN0027,2026-08-18,BlueSky Media,101403.37,Bank
TXN0028,2026-08-13,Prime Consulting,118205.71,Bank
TXN0029,2026-07-29,Vertex Systems,87467.47,Bank
TXN0030,2026-07-09,ABC Technologies,21606.86,Bank
TXN0031,2026-08-11,Prime Consulting,73308.95,Bank
TXN0032,2026-08-05,Summit Foods,115924.83,Bank
TXN0033,2026-08-09,Vertex Systems,85269.01,Bank
TXN0034,2026-08-04,ABC Technologies,49072.76,Bank
TXN0035,2026-07-02,Nova Retail,68324.02,Bank
