transaction_id,date,vendor,amount,source
TXN0001,2026-08-17,ABC Technologies,68637.37,Ledger
TXN0002,2026-08-23,Prime Consulting,106118.36,Ledger
TXN0004,2026-08-17,BlueSky Media,118979.32,Ledger
TXN0005,2026-07-08,Vertex Systems,70305.96,Ledger
TXN0006,2026-07-23,Vertex Systems,139380.92,Ledger
TXN0007,2026-08-09,BlueSky Media,124300.43,Ledger
TXN0008,2026-07-28,Vertex Systems,37949.61,Ledger
TXN0009,2026-08-04,ABC Technologies,14253.5,Ledger
TXN0010,2026-08-21,Summit Foods,96591.34,Ledger
TXN0011,2026-08-17,XYZ Services,56406.27,Ledger
TXN0012,2026-08-30,ABC Technologies,134502.56,Ledger
TXN0013,2026-08-18,Nova Retail,33222.61,Ledger
TXN0014,2026-07-29,Global Logistics,11351.55,Ledger
TXN0015,2026-07-10,Vertex Systems,104042.1,Ledger
TXN0016,2026-08-16,Orion Energy,145288.91,Ledger
TXN0017,2026-07-21,Prime Consulting,58716.66,Ledger
TXN0018,2026-07-30,ABC Technologies,32473.35,Ledger
TXN0019,2026-07-09,Prime Consulting,73977.21,Ledger
TXN0020,2026-07-15,Global Logistics,102123.03,Ledger
TXN0021,2026-07-28,Orion Energy,125738.34,Ledger
TXN0022,2026-08-13,Nova Retail,50293.16,Ledger
TXN0023,2026-08-21,BlueSky Media,121690.83,Ledger
TXN0024,2026-07-25,Summit Foods,46807.58,Ledger
TXN0025,2026-08-12,Acme Supplies,25264.11,Ledger
TXN0026,2026-07-13,Summit Foods,6067.53,Ledger
TXN0027,2026-08-18,BlueSky Media,101403.37,Ledger
TXN0028,2026-08-13,Prime Consulting,118205.71,Ledger
TXN0029,2026-07-28,Vertex Systems,87467.47,Ledger
TXN0030,2026-07-09,ABC Technologies,21606.86,Ledger
TXN0031,2026-08-11,Prime Consulting,73308.95,Ledger
TXN0032,2026-08-05,Summit Foods,115935.91,Ledger
TXN0033,2026-08-09,Vertex Systems,85269.01,Ledger
TXN0034,2026-08-04,ABC Technologies,49072.76,Ledger
TXN0036,2026-07-14,Orion Energy,64236.65,Ledger
TXN0037,2026-08-22,Orion Energy,38921.23,Ledger
TXN0038,2026-07-04,Summit Foods,45800.66,Ledger
TXN0039,2026-07-21,Orion Energy,100977.89,Ledger
TXN0040,2026-08-04,XYZ Services,118665.24,Ledger
TXN0041,2026-08-11,Orion Energy,63926.09,Ledger
TXN0042,2026-08-20,Prime Consulting,29211.07,Ledger
TXN0043,2026-07-02,Global Logistics,18056.94,Ledger
TXN0044,2026-08-14,BlueSky Media,71972.2,Ledger
TXN0045,2026-07-10,BlueSky Media,77651.49,Ledger
TXN0046,2026-07-10,Orion Energy,105966.45,Ledger
TXN0047,2026-07-28,Prime Consulting,60248.08,Ledger
TXN0048,2026-07-19,Acme Supplies,96390.98,Ledger
TXN0049,2026-07-23,Nova Retail,17709.24,Ledger
TXN0050,2026-07-08,Global Logistics,144475.16,Ledger
TXN0051,2026-08-26,Global Logistics,106457.53,Ledger
TXN0053,2026-08-18,Acme Supplies,108949.08,Ledger
TXN0054,2026-07-28,BlueSky Media,44475.03,Ledger
TXN0055,2026-07-06,ABC Technologies,135877.35,Ledger
TXN0056,2026-07-29,XYZ Services,34342.69,Ledger
TXN0057,2026-07-19,BlueSky Media,88986.84,Ledger
TXN0058,2026-07-11,Vertex Systems,129209.07,Ledger
TXN0059,2026-08-17,ABC Technologies,109322.13,Ledger
TXN0060,2026-07-29,Nova Retail,95959.78,Ledger
TXN0061,2026-08-06,XYZ Services,99227.76,Ledger
TXN0062,2026-07-06,Nova Retail,65292.07,Ledger
TXN0063,2026-07-03,BlueSky Media,76628.67,Ledger
TXN0064,2026-07-21,XYZ Services,25956.01,Ledger
TXN0065,2026-07-07,Nova Retail,90208.46,Ledger
TXN0066,2026-07-11,BlueSky Media,139142.42,Ledger
TXN0067,2026-08-06,Orion Energy,55296.12,Ledger
TXN0068,2026-08-06,Nova Retail,8306.56,Ledger
TXN0069,2026-08-29,XYZ Services,74934.0,Ledger
TXN0070,2026-08-18,Prime Consulting,16995.85,Ledger
TXN0071,2026-07-31,Acme Supplies,76152.51,Ledger
TXN0072,2026-08-28,Prime Consulting,87900.57,Ledger
TXN0073,2026-07-30,Vertex Systems,43711.47,Ledger
TXN0074,2026-07-21,Orion Energy,80497.5,Ledger
TXN0075,2026-07-28,Summit Foods,8133.75,Ledger
TXN0076,2026-08-21,Global Logistics,134943.31,Ledger
TXN0077,2026-07-09,Vertex Systems,85335.24,Ledger
TXN0078,2026-07-07,Global Logistics,102474.81,Ledger
TXN0079,2026-07-18,XYZ Services,100616.28,Ledger
TXN0080,2026-08-15,BlueSky Media,116453.89,Ledger
TXN0081,2026-07-07,Global Logistics,137821.72,Ledger
TXN0083,2026-08-04,XYZ Services,58783.73,Ledger
TXN0084,2026-08-21,Global Logistics,122196.46,Ledger
TXN0085,2026-07-20,Orion Energy,143170.41,Ledger
TXN0086,2026-07-19,Nova Retail,79683.28,Ledger
TXN0087,2026-07-16,Orion Energy,140726.32,Ledger
TXN0088,2026-07-11,XYZ Services,11512.04,Ledger
TXN0089,2026-07-27,Acme Supplies,148894.46,Ledger
TXN0090,2026-08-25,XYZ Services,113548.16,Ledger
TXN0091,2026-08-25,Summit Foods,134549.76,Ledger
TXN0092,2026-08-03,XYZ Services,50809.71,Ledger
TXN0093,2026-08-17,ABC Technologies,100940.88,Ledger
TXN0095,2026-08-16,BlueSky Media,43056.77,Ledger
TXN0096,2026-08-28,ABC Technologies,39940.73,Ledger
TXN0097,2026-07-08,ABC Technologies,125511.34,Ledger
TXN0098,2026-07-10,Summit Foods,30993.9,Ledger
TXN0099,2026-08-07,Global Logistics,131811.5,Ledger
TXN0100,2026-07-13,ABC Technologies,49996.93,Ledger
TXN0101,2026-08-18,Orion Energy,145914.83,Ledger
TXN0102,2026-08-01,Prime Consulting,25865.14,Ledger
TXN0103,2026-06-30,Orion Energy,38300.12,Ledger
TXN0104,2026-07-09,Acme Supplies,103260.51,Ledger
TXN0105,2026-07-08,Orion Energy,78417.84,Ledger
TXN0106,2026-08-13,Orion Energy,89261.91,Ledger
TXN0107,2026-07-13,Prime Consulting,121598.06,Ledger
TXN0108,2026-08-14,ABC Technologies,112152.68,Ledger
TXN0109,2026-07-09,Summit Foods,22944.3,Ledger
TXN0110,2026-08-27,Vertex Systems,62648.84,Ledger
TXN0111,2026-07-19,Orion Energy,75844.69,Ledger
TXN0112,2026-08-11,Vertex Systems,143565.37,Ledger
TXN0113,2026-07-18,Vertex Systems,139097.22,Ledger
TXN0114,2026-07-02,Prime Consulting,85503.72,Ledger
TXN0115,2026-08-09,XYZ Services,20355.12,Ledger
TXN0116,2026-07-09,BlueSky Media,65771.58,Ledger
TXN0117,2026-08-29,ABC Technologies,91426.17,Ledger
TXN0118,2026-08-27,XYZ Services,121632.33,Ledger
TXN0119,2026-07-29,Prime Consulting,118790.7,Ledger
TXN0120,2026-07-02,Summit Foods,20825.88,Ledger
TXN0121,2026-08-21,Acme Supplies,120538.48,Ledger
TXN0122,2026-07-15,Prime Consulting,81961.59,Ledger
TXN0123,2026-08-07,BlueSky Media,130822.15,Ledger
TXN0124,2026-08-07,BlueSky Media,64822.88,Ledger
TXN0125,2026-07-24,XYZ Services,64200.4,Ledger
TXN0126,2026-08-10,XYZ Services,130786.14,Ledger
TXN0127,2026-07-29,Acme Supplies,40936.74,Ledger
TXN0128,2026-07-15,Acme Supplies,113172.07,Ledger
TXN0129,2026-08-20,Summit Foods,20265.32,Ledger
TXN0130,2026-07-05,Summit Foods,91192.88,Ledger
TXN0131,2026-07-10,Global Logistics,124285.7,Ledger
TXN0133,2026-08-27,Orion Energy,29002.1,Ledger
TXN0134,2026-07-18,XYZ Services,27273.94,Ledger
TXN0135,2026-07-08,Prime Consulting,8066.46,Ledger
TXN0136,2026-07-04,BlueSky Media,32119.98,Ledger
TXN0137,2026-07-04,Summit Foods,90715.85,Ledger
TXN0138,2026-08-12,Vertex Systems,62076.42,Ledger
TXN0139,2026-07-20,Summit Foods,78156.3,Ledger
TXN0140,2026-08-24,BlueSky Media,128414.09,Ledger
TXN0141,2026-07-03,Vertex Systems,31317.27,Ledger
TXN0142,2026-07-15,Summit Foods,41161.2,Ledger
TXN0143,2026-08-05,Nova Retail,65358.05,Ledger
TXN0144,2026-07-04,Acme Supplies,59174.05,Ledger
TXN0145,2026-08-02,Orion Energy,19742.43,Ledger
TXN0146,2026-08-21,ABC Technologies,12534.47,Ledger
TXN0147,2026-08-27,Prime Consulting,19371.41,Ledger
TXN0148,2026-08-22,Summit Foods,135884.71,Ledger
TXN0149,2026-08-30,Acme Supplies,121293.75,Ledger
TXN0150,2026-08-18,Vertex Systems,98160.08,Ledger
TXN0151,2026-08-18,Nova Retail,24510.07,Ledger
TXN0152,2026-08-03,Summit Foods,79562.32,Ledger
TXN0153,2026-08-23,Orion Energy,72105.91,Ledger
TXN0154,2026-07-24,BlueSky Media,97736.67,Ledger
TXN0155,2026-07-17,Acme Supplies,25266.42,Ledger
TXN0156,2026-07-30,Prime Consulting,65448.96,Ledger
